timestamp,none:startupDurationMs,splunk-otel:startupDurationMs,splunk-logging:startupDurationMs,none:minHeapUsed,splunk-otel:minHeapUsed,splunk-logging:minHeapUsed,none:maxHeapUsed,splunk-otel:maxHeapUsed,splunk-logging:maxHeapUsed,none:totalAllocatedMB,splunk-otel:totalAllocatedMB,splunk-logging:totalAllocatedMB,none:totalGCTime,splunk-otel:totalGCTime,splunk-logging:totalGCTime,none:maxThreadContextSwitchRate,splunk-otel:maxThreadContextSwitchRate,splunk-logging:maxThreadContextSwitchRate,none:iterationAvg,splunk-otel:iterationAvg,splunk-logging:iterationAvg,none:iterationP95,splunk-otel:iterationP95,splunk-logging:iterationP95,none:requestAvg,splunk-otel:requestAvg,splunk-logging:requestAvg,none:requestP95,splunk-otel:requestP95,splunk-logging:requestP95,none:netReadAvg,splunk-otel:netReadAvg,splunk-logging:netReadAvg,none:netWriteAvg,splunk-otel:netWriteAvg,splunk-logging:netWriteAvg,none:peakThreadCount,splunk-otel:peakThreadCount,splunk-logging:peakThreadCount,none:averageCpuUser,splunk-otel:averageCpuUser,splunk-logging:averageCpuUser,none:maxCpuUser,splunk-otel:maxCpuUser,splunk-logging:maxCpuUser,none:averageCpuSystem,splunk-otel:averageCpuSystem,splunk-logging:averageCpuSystem,none:maxCpuSystem,splunk-otel:maxCpuSystem,splunk-logging:maxCpuSystem,none:averageMachineCpuTotal,splunk-otel:averageMachineCpuTotal,splunk-logging:averageMachineCpuTotal,none:runDurationMs,splunk-otel:runDurationMs,splunk-logging:runDurationMs,none:gcPauseMs,splunk-otel:gcPauseMs,splunk-logging:gcPauseMs,none:throughputAvg,splunk-otel:throughputAvg,splunk-logging:throughputAvg
1660051844,28914,20690,20404,85991280,105065472,104846848,629592576,675309520,502074880,66633.62649536133,336384.7077255249,489545.51749420166,2682294659,4107004849,3268495866,44437.336,77827.26,113579.234,601.9214540849403,814.8052619395278,809.5828764537647,654.2149080999999,1085.5141782999995,1048.7417695499998,8.084873686999963,51.59745349185013,53.900001554281296,34.02982439999996,167.1269306999997,225.87319694999942,9863627,7819265,7599458,13946366,30897957,11560244,80,114,100,0.32204762,0.29503864,0.36498016,0.63037974,0.67418545,0.5125,0.12890385,0.11164747,0.15638323,0.175,0.1825,0.21932115,0.6249085,0.5360808,0.8809597,173874,234515,234665,2769,4266,3380,896.4212644165477,662.3073200237387,666.4932330143938
1660052780,11850,19448,19347,81042008,101612728,91458616,619754496,593707000,609906680,68198.69192504883,313557.00102233887,477334.782119751,2473242021,3516367653,5566551238,37796.902,44122.555,102208.55,602.1854558141183,797.5358480682398,854.2205136023546,661.8814393499999,1213.7675889,1083.11156255,8.114192608712491,47.62621901160755,57.479044361707054,34.40108664999999,197.27570479999966,241.55114604999997,10016072,7773134,7125197,14169961,30776835,10895100,79,123,94,0.31571135,0.28480387,0.37663642,0.63979846,0.6094527,0.5063613,0.13069972,0.108120345,0.15123875,0.18387909,0.17412935,0.20789474,0.61909515,0.5250938,0.87249124,174361,229439,249394,2510,3713,5675,895.8531993957316,676.6011033007318,631.6943969628991
1660053719,11838,24824,19271,84763872,97079808,101266944,658756096,720971584,516655680,67687.23767089844,330736.15158843994,486865.0146560669,2531910276,4128366782,4666694057,41749.45,54479.484,110126.21,603.2263162319969,825.85053837541,842.4829697864708,676.3947111499999,1210.5693786,1072.260437,8.566597124843229,52.148480449666714,56.599886562503706,34.50242169999997,211.56808019999954,236.8987975499995,9933376,7500313,7327984,14060973,30292410,11179868,81,116,95,0.31788272,0.30465233,0.37802345,0.6096939,0.6363636,0.5151515,0.13238838,0.10664014,0.15701729,0.17091836,0.17042607,0.20558375,0.64420617,0.54324394,0.8850108,174343,237474,242520,2587,4168,4761,894.4210252423359,652.3599304327387,640.4895554968319
1660054654,11894,20474,19396,82849504,98450800,100090624,418854200,632838656,539825440,68806.77620697021,348068.6491165161,486708.4549560547,2667738027,3580708223,5338768639,37643.68,47134.56,99407.37,602.7768406549407,810.0657661232959,846.7171074458828,673.3656725,1238.4485828,1065.4193487999996,8.563759810686221,50.0066923030193,56.929960133980266,35.974239999999945,200.0309629499993,243.51312569999976,9944777,7676462,7295980,14019855,30748508,11114916,88,120,90,0.32659596,0.30078334,0.3793725,0.61904764,0.6335878,0.52,0.13081032,0.110293664,0.15416211,0.18766066,0.16296296,0.2,0.6293613,0.5428389,0.8847244,174285,232806,243409,2890,3715,5415,895.1275504040993,666.2747788162563,637.2628602973084
1660055580,11759,19569,19451,84123088,97958400,96350208,482315776,712237152,455290880,66863.72841644287,335567.62492370605,488728.25982666016,2688041677,4122223773,3647503957,47111.92,45670.46,103644.23,602.6063377034112,826.6457139312951,833.3277903782354,674.8476167,1236.9233647499998,1058.43081435,8.556610271627505,51.32128653432675,55.90526101740547,35.564890749999996,210.05921504999995,238.07246744999992,9856718,7521403,7411975,13932491,30515114,11278790,81,116,95,0.32596216,0.30154985,0.37300438,0.6352357,0.68123394,0.52771086,0.13206355,0.10746202,0.15607339,0.17692308,0.17,0.20610687,0.6311478,0.5389108,0.8859139,174280,237765,239422,2832,4290,3731,895.3303708915262,652.7148191607236,647.4636788418261
1660056501,11921,19578,19280,87285536,98234688,96643008,571280384,576078848,538523744,67914.94338226318,344790.0257720947,474890.5208129883,2327759068,3684377783,5197504729,49495.152,57803.094,109338.83,602.0424233918795,813.2236360567033,835.0703629303546,651.5368956499999,1229.0434136,1063.6351881499997,8.157034096255053,51.10026760870649,55.944397275973124,35.03901404999997,207.10518364999925,232.28545284999973,9915774,7681732,7383472,14004169,30575570,11245543,83,120,98,0.32518002,0.311432,0.37445727,0.62849873,0.642132,0.5214106,0.13174379,0.11064265,0.1546985,0.20551379,0.19184652,0.21614583,0.6291039,0.55406797,0.88400346,174275,233486,240696,2407,3821,5312,896.1653696178577,663.3604935147716,646.158089168189
1660057427,11984,18554,18494,85866120,102231552,98928944,606153728,532006400,619577120,66179.38356018066,305069.30921936035,467486.00952911377,2581007207,3150297689,5129531306,57440.78,56563.742,109812.55,605.6300215957659,788.4311393143548,838.1056191031752,692.7175470999999,1193.4804060499998,1065.7571522499998,8.930541067163553,45.496475168366494,56.387396980124535,36.12455269999999,196.8764917499997,238.13287609999915,9827586,7810466,7360629,13917093,30694051,11193444,81,120,108,0.3344149,0.3114144,0.378207,0.64572865,0.6575,0.5447942,0.13161276,0.11267511,0.15503047,0.21794872,0.17884131,0.22857143,0.63787156,0.55756694,0.88783246,175312,226380,240768,2635,3444,5247,890.9355157687212,684.3375533820226,643.857949149795
1660058356,12048,19706,18418,87064944,102728448,101072776,618899968,604768256,456658512,65927.77501678467,339847.9642868042,475946.30392456055,2569329305,3518487834,4329933799,44470.465,48854.293,118214.16,602.7689367431763,829.434343854466,818.0681878638849,675.2709258,1216.4553940999997,1043.5142937499998,8.569661103163439,51.17151603720872,54.50910267797985,35.31800359999998,210.93639314999967,224.3126575999997,9968585,7470146,7538850,14026151,30298266,11490380,93,122,103,0.32911205,0.27977943,0.37293065,0.6212871,0.6356784,0.5468354,0.13142297,0.10310598,0.15836939,0.19849247,0.16625917,0.21573605,0.63028747,0.507589,0.8917987,174229,238297,235380,2622,3696,4479,895.2464629657408,650.4794793278217,659.550569124126
1660059286,11814,20428,19503,91019344,103064304,100507768,575879680,462449664,543897936,69001.10028839111,315049.96100616455,485619.7768936157,2438746359,3182599904,4974919977,49143.93,53042.367,100425.445,602.1342365864681,817.7759793879987,831.6903085748232,653.3268068499999,1218.4013637500002,1063.18200005,8.234970082947873,50.324804319098064,55.82470817483021,35.12016175,196.52014634999978,231.09078314999934,9917741,7616570,7408695,14003350,30561305,11264263,83,119,101,0.32603785,0.2944402,0.37785915,0.6335878,0.6368159,0.52590674,0.13058403,0.10683548,0.1555016,0.17705736,0.2175,0.20725389,0.6302254,0.5310795,0.8904932,174244,235382,239388,2520,3360,5095,896.0897320922369,659.7627066184385,648.799843211973
1660060207,11820,19497,18349,85388432,99950576,106874784,585143808,569401344,409041408,71766.15337371826,292882.1010437012,471078.2330856323,2791667615,3188032001,3591746671,39331.97,48011.39,104550.53,601.7843893291775,806.5057679272942,835.5364940467055,658.23970435,1179.6759585999998,1069.7893589999996,8.279028158673375,48.77989590211737,56.096331720772184,34.866334499999866,197.38347894999987,234.64749654999974,9921235,7659589,7388745,14038994,30345416,11248893,78,116,102,0.32920316,0.29517248,0.3802411,0.6227848,0.6817043,0.51492536,0.1313533,0.10708993,0.1531788,0.18518518,0.15949367,0.19251336,0.6313962,0.53201836,0.8926963,174227,232320,240382,2912,3377,3769,896.6314896978421,668.8560386491174,645.7937465043179
